sample_id,use_5g,travel_time,urbanicity,headp_ear_num,mpc_duration,mpc_ear_prop,mpc_headp_prop,mpd_wifi_prop,mpd_low_dt_dur,mpd_lowmed_dt_dur,mpd_medhigh_dt_dur,mpd_high_dt_dur,dect_duration,dect_ear_prop,lptp_duration,tblt_duration,wifi_duration,hotspot_duration,smartwatch_duration,tracker_duration,vr_duration,headphone_duration,smarthome_duration,gaming_duration
TEST1,TRUE,1800,suburban,2,425,0.66,0.5,0.5,4860,540,4860,540,204,0.9,4371,1617,59400,0,0,0,0,0,0,600
TEST2,TRUE,1800,rural,2,120,0.8,0.5,0.4,0,0,0,0,580,0.8,2394,4321,70000,0,86400,0,1200,0,600,0
TEST3,FALSE,1800,urban,1,903,0.9,0.5,0.6,0,0,0,0,90,0.5,7562,0,60000,600,0,7200,0,8280,0,1200
TEST4,FALSE,1800,suburban,2,353,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST5,TRUE,1800,suburban,2,100,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST6,TRUE,1800,suburban,2,100,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST7,FALSE,1800,suburban,2,1000,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST8,,1800,suburban,2,0.1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST9,TRUE,1800,suburban,2,10000,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST10,TRUE,1800,suburban,2,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST11,,1800,suburban,2,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST12,FALSE,1800,suburban,2,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST13,TRUE,1800,suburban,2,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST14,TRUE,1800,suburban,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
