"","placement","frequency_mhz","Input Power (W)","SAR_wholebody (mW/kg)","SAR_head (mW/kg)","SAR_brain (mW/kg)","SAR_trunk (mW/kg)","psSAR10g_eyes (mW/kg)","psSAR10g_skin (mW/kg)","psSAR10g_brain (mW/kg)","yaml_name_whole_body","yaml_name_whole_brain"
"1","front_of_eyes_center_horizontal",700,1,2.62029276910084,1.19118818213055,0.564089064783121,0.204046231509956,5.86928501254303,5.86928501254303,4.29230367534616,"Duke_fronteyes_700_front_of_eyes_center_horizontal: 2.62029276910084","Duke_fronteyes_700_front_of_eyes_center_horizontal: 0.564089064783121"
"2","front_of_eyes_center_horizontal",800,1,2.40586784629891,0.986228554073771,0.42781721933309,0.161081270843951,5.19797235592065,5.83905621541608,4.00639428908037,"Duke_fronteyes_800_front_of_eyes_center_horizontal: 2.40586784629891","Duke_fronteyes_800_front_of_eyes_center_horizontal: 0.42781721933309"
"3","front_of_eyes_center_horizontal",900,1,2.17932493908628,1.30384881927878,0.552504066882252,0.231925048240917,6.52596735743187,19.3424390050818,6.15090070726683,"Duke_fronteyes_900_front_of_eyes_center_horizontal: 2.17932493908628","Duke_fronteyes_900_front_of_eyes_center_horizontal: 0.552504066882252"
"4","front_of_eyes_center_horizontal",1450,1,0.897451072508176,4.59840073102781,2.01112093459255,0.95861477895688,19.7509663917546,133.691355586052,25.1434558897086,"Duke_fronteyes_1450_front_of_eyes_center_horizontal: 0.897451072508176","Duke_fronteyes_1450_front_of_eyes_center_horizontal: 2.01112093459255"
"5","front_of_eyes_center_horizontal",1800,1,0.96099442538935,4.90384370926952,1.59335864179304,0.946881231000593,30.9632742715445,128.843914163695,25.6321958046394,"Duke_fronteyes_1800_front_of_eyes_center_horizontal: 0.96099442538935","Duke_fronteyes_1800_front_of_eyes_center_horizontal: 1.59335864179304"
"6","front_of_eyes_center_horizontal",2100,1,1.01546015643036,5.16565197633384,1.23527667653632,0.936823904180918,40.573823882793,124.688964373104,26.0511157317229,"Duke_fronteyes_2100_front_of_eyes_center_horizontal: 1.01546015643036","Duke_fronteyes_2100_front_of_eyes_center_horizontal: 1.23527667653632"
"7","front_of_eyes_center_horizontal",2400,1,0.920422093427181,5.55825671096736,1.04372127864166,0.977263295723235,41.4266004471628,129.212979663683,31.9950534084718,"Duke_fronteyes_2400_front_of_eyes_center_horizontal: 0.920422093427181","Duke_fronteyes_2400_front_of_eyes_center_horizontal: 1.04372127864166"
"8","front_of_eyes_center_horizontal",2600,1,0.853267775311251,5.63954071858043,0.978844579523033,0.896753226344197,45.7124708422383,126.638850566587,38.7478704479608,"Duke_fronteyes_2600_front_of_eyes_center_horizontal: 0.853267775311251","Duke_fronteyes_2600_front_of_eyes_center_horizontal: 0.978844579523033"
"9","front_of_eyes_center_horizontal",3500,1,0.568380513317951,5.71451749615311,0.755520310804047,0.365484692625805,71.9222663478418,105.334835296327,72.470832277428,"Duke_fronteyes_3500_front_of_eyes_center_horizontal: 0.568380513317951","Duke_fronteyes_3500_front_of_eyes_center_horizontal: 0.755520310804047"
"10","front_of_eyes_center_horizontal",5000,1,0.667541682204061,3.37143815067502,0.14965547704456,1.0516645182429,42.5908984504576,85.958309983548,32.3358297788923,"Duke_fronteyes_5000_front_of_eyes_center_horizontal: 0.667541682204061","Duke_fronteyes_5000_front_of_eyes_center_horizontal: 0.14965547704456"
