path,value v0.1.0,value v0.2.0,unit,description,notes
global.wifi_2_prop,0.5,0.58,none,Wifi 2.4 GHz proportion,global.wifi_2_prop and global.wifi_5_prop must sum to 1
global.wifi_5_prop,0.5,0.42,none,Wifi 5.0 GHz proportion,global.wifi_2_prop and global.wifi_5_prop must sum to 1
global.home_prop,0.69,0.7,none,Proportion of time spent at home,"globL.home_prop, global.outdoor_prop, global.work_prop and global.travel_prop must sum to 1"
global.outdoor_prop,0.08,0.08,none,Proportion of time spent outdoors,"globL.home_prop, global.outdoor_prop, global.work_prop and global.travel_prop must sum to 1"
global.work_prop,0.21,0.22,none,Proportion of time spent at work,"globL.home_prop, global.outdoor_prop, global.work_prop and global.travel_prop must sum to 1"
global.travel_prop,0.02,removed,none,Proportion of time spent in transport,"globL.home_prop, global.outdoor_prop, global.work_prop and global.travel_prop must sum to 1"
global.tech_3g_prop_5gno: 0.1,,0.1,,,
global.tech_4g_prop_5gno: 0.9,,0.9,,,
global.tech_5g_prop_5gno: 0,,0,,,
global.tech_3g_prop: 0.1,,0.1,,,
global.tech_4g_prop: 0.75,,0.75,,,
global.tech_5g_prop: 0.15,,0.15,,,
devices.dect.shared.dect_pwr,250,250,mW,Maximum output power of cordless phone,
devices.dect.shared.dect_duty_factor,0.04,0.04,none,Cordless phone duty cycle,
devices.dect.shared.dect_ear_prop,0.9,removed,none,Proportion of time DECT phone is held against ear during call,devices.dect.shared.dect_ear_prop and devices.dect.shared.dect_speaker_prop must sum to 1
devices.dect.shared.dect_speaker_prop,0.1,removed,none,Proportion of time DECT phone is used in speaker mode during call,devices.dect.shared.dect_ear_prop and devices.dect.shared.dect_speaker_prop must sum to 1
devices.dect.brain.dect_ear_sar,0.034926,0.034926,W/kg/W,Brain SAR from DECT phone held against ear,
devices.dect.brain.dect_speaker_sar,0.002603877,0.002603877,W/kg/W,Brain SAR from DECT phone in speaker mode,
