sample_id,mpc_duration,mpc_ear_prop,mpc_headp_prop,urbanicity,mpd_duration,mpd_wifi_prop,dect_duration,dect_ear_prop,lptp_duration,tblt_duration,wifi_duration,hotspot_duration,smartwatch_duration,tracker_duration,vr_duration,headphone_duration,smarthome_duration
TEST1,424.5,0.66,0.5,suburban,10800,0.5,204,0.9,4371,1617,59400,0,0,0,0,0,0
TEST2,120,0.8,0.5,rural,12400,0.4,580,0.8,2394,4321,70000,0,86400,0,1200,0,600
TEST3,903,0.9,0.5,urban,8900,0.6,90,0.5,7562,0,60000,600,0,7200,0,8280,0
TEST4,353,1,0.5,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST5,100,1,0.5,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST6,100,0,0.5,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST7,1000,1,0.5,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST8,0.1,1,0.5,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST9,10000,1,0.5,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST10,0,0,0.5,suburban,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0
TEST11,0,0,0.5,suburban,100,0.5,0,0,0,0,0,0,0,0,0,0,0
TEST12,0,0,0.5,suburban,10000,0.5,0,0,0,0,0,0,0,0,0,0,0
TEST13,0,0,0.5,suburban,86400,0.5,0,0,0,0,0,0,0,0,0,0,0
TEST14,0,0,0.5,suburban,100,0,0,0,0,0,0,0,0,0,0,0,0
TEST15,0,0,0.5,suburban,100,1,0,0,0,0,0,0,0,0,0,0,0
TEST16,0,0,0.5,suburban,0,0,100,0,0,0,0,0,0,0,0,0,0
TEST17,0,0,0.5,suburban,0,0,0.1,0,0,0,0,0,0,0,0,0,0
TEST18,0,0,0.5,suburban,0,0,86400,0,0,0,0,0,0,0,0,0,0
TEST19,0,0,0.5,suburban,0,0,86400,0.2,0,0,0,0,0,0,0,0,0
TEST20,0,0,0.5,suburban,0,0,86400,1,0,0,0,0,0,0,0,0,0
TEST21,0,0,0.5,suburban,0,0,0,0,0.1,0,0,0,0,0,0,0,0
TEST22,0,0,0.5,suburban,0,0,0,0,100,0,0,0,0,0,0,0,0
TEST23,0,0,0.5,suburban,0,0,0,0,86400,0,0,0,0,0,0,0,0
TEST24,0,0,0.5,suburban,0,0,0,0,0,0.1,0,0,0,0,0,0,0
TEST25,0,0,0.5,suburban,0,0,0,0,0,100,0,0,0,0,0,0,0
TEST26,0,0,0.5,suburban,0,0,0,0,0,86400,0,0,0,0,0,0,0
TEST27,0,0,0.5,rural,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST28,0,0,0.5,rural,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST29,0,0,0.5,rural,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST30,0,0,0.5,rural,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST31,0,0,0.5,rural,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST32,0,0,0.5,rural,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST33,0,0,0.5,rural,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST34,0,0,0.5,rural,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST35,0,0,0.5,rural,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST36,0,0,0.5,rural,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST37,0,0,0.5,urban,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST38,0,0,0.5,urban,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST39,0,0,0.5,urban,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST40,0,0,0.5,urban,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST41,0,0,0.5,urban,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST42,0,0,0.5,urban,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST43,0,0,0.5,urban,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST44,0,0,0.5,urban,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST45,0,0,0.5,urban,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST46,0,0,0.5,urban,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST47,0,0,0.5,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST48,0,0,0.5,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST49,0,0,0.5,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST50,0,0,0.5,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0
