param_name;param_value;param_unit;definition;source
dect_pwr;80;mW;;
dect_ear_prop;0.9;(proportion);;
dect_speaker_prop;0.1;(proportion);;
dect_ear_brain_sar;0.0349;W/kg/W;;
dect_speaker_brain_sar;0.0026;W/kg/W;;
dect_ear_body_sar;0.007;W/kg/W;;
dect_speaker_body_sar;0.0021;W/kg/W;;
dect_duty_factor;0.185;;;
tblt_2.4_prop;0.5;(proportion);;
tblt_5.0_prop;0.5;(proportion);;
tblt_2.4_pwr;11.7588;;;
tblt_5.0_pwr;11.7588;;;
tblt_2.4_brain_sar;;0.000999468;;
tblt_5.0_brain_sar;;0.000163091;;
tblt_2.4_body_sar;;0.0009;;
tblt_5.0_body_sar;;0.000999468;;
lptp_2.4_prop;0.5;(proportion);;
lptp_5.0_prop;0.5;(proportion);;
lptp_2.4_pwr;11.7588;;;
lptp_5.0_pwr;11.7588;;;
lptp_legs_prop;0.2;proportion;;
lptp_tabl_prop;0.8;proportion;;
lptp_2.4_legs_brain_sar;5.19E-05;W/kg/W;;
lptp_2.4_tabl_brain_sar;6.89E-05;W/kg/W;;
lptp_5.0_legs_brain_sar;6.75E-06;W/kg/W;;
lptp_5.0_tabl_brain_sar;9.50E-06;W/kg/W;;
lptp_2.4_legs_body_sar;0.005;W/kg/W;;
lptp_2.4_tabl_body_sar;0.00125;W/kg/W;;
lptp_5.0_legs_body_sar;0.005;W/kg/W;;
lptp_5.0_tabl_body_sar;0.00125;W/kg/W;;
wifi_2.4_prop;0.5;proportion;;
wifi_5.0_prop;0.5;proportion;;
wifi_2.4_pwr;0.017;mW;;
wifi_5.0_pwr;0.016;mW;;
wifi_2.4_brain_sar;0.00133;W/kg/W/m2;;
wifi_5.0_brain_sar;0.00133;W/kg/W/m2;;
wifi_2.4_body_sar;0.005295;W/kg/W/m2;;
wifi_5.0_body_sar;0.005295;W/kg/W/m2;;
call_native_prop;0.7;proportion;;
call_data_prop;0.21;proportion;;
call_wifi_prop;0.09;proportion;;
call_native_pwr;6.78;mW;;
call_data_pwr;5.96;mW;;
call_wifi_pwr;2.738;mW;;
call_ear_prop;0.66;proportion;;
call_headp_prop;0.17;proportion;;
call_speaker_prop;0.17;proportion;;
call_native_ear_brain_sar;0.061597475;W/kg/W;;
call_native_headp_brain_sar;0.001005179;W/kg/W;;
call_native_speaker_brain_sar;0.005168032;W/kg/W;;
call_data_ear_brain_sar;0.061597475;W/kg/W;;
call_data_headp_brain_sar;0.000332981;W/kg/W;;
call_data_speaker_brain_sar;0.005168032;W/kg/W;;
call_2.4_prop;0.5;proportion;;
call_5.0_prop;0.5;proportion;;
call_wifi_2.4_ear_brain_sar;0.016377585;W/kg/W;;
call_wifi_2.4_headp_brain_sar;0.000332981;W/kg/W;;
call_wifi_2.4_speaker_brain_sar;0.001272228;W/kg/W;;
call_wifi_5.0_ear_brain_sar;0.000606727;W/kg/W;;
call_wifi_5.0_headp_brain_sar;5.43165E-05;W/kg/W;;
call_wifi_5.0_speaker_brain_sar;0.000169973;W/kg/W;;
