path;value;unit;description
global.wifi_2_prop;0.5;;
global.wifi_5_prop;0.5;;
global.home_prop;0.69;;
global.outdoor_prop;0.08;;
global.work_prop;0.21;;
global.travel_prop;0.02;;
devices.dect.shared.dect_pwr;250;;
devices.dect.shared.dect_duty_factor;0.04;;
devices.dect.shared.dect_ear_prop;0.9;;
devices.dect.shared.dect_speaker_prop;0.1;;
devices.dect.brain.dect_ear_sar;0.034926;;
devices.dect.brain.dect_speaker_sar;0.002603877;;
devices.dect.body.dect_ear_sar;0.007;;
devices.dect.body.dect_speaker_sar;0.0021;;
devices.tblt.shared.wifi_2_pwr;11.7588;;
devices.tblt.shared.wifi_5_pwr;11.7588;;
devices.tblt.brain.tblt_2_sar;0.000999468;;
devices.tblt.brain.tblt_5_sar;0.000163091;;
devices.tblt.body.tblt_2_sar;9.00E-04;;
devices.tblt.body.tblt_5_sar;0.000999468;;
devices.lptp.shared.wifi_2_pwr;11.7588;;
devices.lptp.shared.wifi_5_pwr;11.7588;;
devices.lptp.shared.legs_prop;0.2;;
devices.lptp.shared.tabl_prop;0.8;;
devices.lptp.brain.wifi_2_legs_sar;5.19E-05;;
devices.lptp.brain.wifi_2_tabl_sar;6.89E-05;;
devices.lptp.brain.wifi_5_legs_sar;6.75E-06;;
devices.lptp.brain.wifi_5_tabl_sar;9.50E-06;;
devices.lptp.body.wifi_2_legs_sar;0.005;;
devices.lptp.body.wifi_2_tabl_sar;0.00125;;
devices.lptp.body.wifi_5_legs_sar;0.005;;
devices.lptp.body.wifi_5_tabl_sar;0.00125;;
devices.wifi.shared.wifi_2_pwr;0.017;;
devices.wifi.shared.wifi_5_pwr;0.016;;
devices.wifi.brain.wifi_2_sar;0.00133;;
devices.wifi.brain.wifi_5_sar;0.00133;;
devices.wifi.body.wifi_2_sar;0.005295;;
devices.wifi.body.wifi_5_sar;0.005295;;
devices.call.shared.native_prop;0.7;;
devices.call.shared.data_prop;0.2;;
devices.call.shared.wifi_prop;0.1;;
devices.call.shared.native_pwr;6.78;;
devices.call.shared.data_pwr;5.9;;
devices.call.shared.wifi_2_pwr;100;;
devices.call.shared.wifi_5_pwr;100;;
devices.call.shared.wifi_2_duty_cycle;0.02738;;
devices.call.shared.wifi_5_duty_cycle;0.02738;;
devices.call.shared.headp_face_prop;0.333;;
devices.call.shared.headp_pock_prop;0.333;;
devices.call.shared.headp_else_prop;0.333;;
devices.call.shared.headp_phone_bt_pwr;0.15;;
devices.call.brain.native_ear_sar;0.061597475;;
devices.call.brain.native_headp_face_sar;0.003007437;;
devices.call.brain.native_headp_pock_sar;1.10E-05;;
devices.call.brain.native_headp_else_sar;0;;
devices.call.brain.native_speaker_sar;0.005168032;;
devices.call.brain.data_ear_sar;0.061597475;;
devices.call.brain.data_headp_face_sar;0.003007437;;
devices.call.brain.data_headp_pock_sar;1.11E-05;;
devices.call.brain.data_headp_else_sar;0;;
devices.call.brain.data_speaker_sar;0.00516803;;
devices.call.brain.wifi_2_ear_sar;0.016377585;;
devices.call.brain.wifi_2_headp_face_sar;0.000999468;;
devices.call.brain.wifi_2_headp_pock_sar;4.75E-07;;
devices.call.brain.wifi_2_headp_else_sar;0;;
devices.call.brain.wifi_2_speaker_sar;0.001272228;;
devices.call.brain.wifi_5_ear_sar;0.000606727;;
devices.call.brain.wifi_5_headp_face_sar;0.000163091;;
devices.call.brain.wifi_5_headp_pock_sar;2.14E-08;;
devices.call.brain.wifi_5_headp_else_sar;0;;
devices.call.brain.wifi_5_speaker_sar;0.000169973;;
devices.call.brain.bt_phone_face_sar;0.000999468;;
devices.call.brain.bt_phone_pock_sar;4.75E-07;;
devices.call.brain.bt_phone_else_sar;0;;
devices.call.brain.bt_headp_sar;0.01699017;;
devices.call.body.native_ear_sar;0.007;;
devices.call.body.native_headp_face_sar;0.00095;;
devices.call.body.native_headp_pock_sar;0.01235;;
devices.call.body.native_headp_else_sar;0;;
devices.call.body.native_speaker_sar;0.0021;;
devices.call.body.data_ear_sar;0.007;;
devices.call.body.data_headp_face_sar;0.00095;;
devices.call.body.data_headp_pock_sar;0.01235;;
devices.call.body.data_headp_else_sar;0;;
devices.call.body.data_speaker_sar;0.0021;;
devices.call.body.wifi_2_ear_sar;0.00515;;
devices.call.body.wifi_2_headp_face_sar;9.00E-04;;
devices.call.body.wifi_2_headp_pock_sar;0.01015;;
devices.call.body.wifi_2_headp_else_sar;0;;
devices.call.body.wifi_2_speaker_sar;0.00175;;
devices.call.body.wifi_5_ear_sar;0.00515;;
devices.call.body.wifi_5_headp_face_sar;9.00E-04;;
devices.call.body.wifi_5_headp_pock_sar;0.01015;;
devices.call.body.wifi_5_headp_else_sar;0;;
devices.call.body.wifi_5_speaker_sar;0.00175;;
devices.call.body.bt_phone_face_sar;9.00E-04;;
devices.call.body.bt_phone_pock_sar;0.01015;;
devices.call.body.bt_phone_else_sar;0;;
devices.call.body.bt_headp_sar;0.00985;;
devices.data.shared.tech_3g_prop;0.1;;
devices.data.shared.tech_4g_prop;0.75;;
devices.data.shared.tech_5g_prop;0.15;;
devices.data.shared.tech_3g_pwr;56.95982344;;
devices.data.shared.tech_4g_pwr;12.89889866;;
devices.data.shared.tech_5g_pwr;23.54376238;;
devices.data.shared.wifi_2_pwr;2.534323234;;
devices.data.shared.wifi_5_pwr;2.534323234;;
devices.data.brain.data_face_sar;0.003007437;;
devices.data.brain.wifi_2_face_sar;0.000999468;;
devices.data.brain.wifi_5_face_sar;0.000163091;;
devices.data.body.data_face_sar;0.00095;;
devices.data.body.wifi_2_face_sar;9.00E-04;;
devices.data.body.wifi_5_face_sar;9.00E-04;;
devices.farf.shared.home_urban_pwr;0.05198939;;
devices.farf.shared.outdoor_urban_pwr;1.375066313;;
devices.farf.shared.work_urban_pwr;0.214854111;;
devices.farf.shared.home_suburb_pwr;0.021485411;;
devices.farf.shared.outdoor_suburb_pwr;0.513527851;;
devices.farf.shared.work_suburb_pwr;0.131083287;;
devices.farf.shared.home_rural_pwr;0.004244032;;
devices.farf.shared.outdoor_rural_pwr;0.067904509;;
devices.farf.shared.work_rural_pwr;0.067904509;;
devices.farf.shared.travel_pwr;1.120689655;;
devices.farf.brain.sar;0.006517857;;
devices.farf.body.sar;0.00876;;
